id;quest;completed;voice;emotion;text;output_path
1;DSilHand_A02LoreDialogs;ongoing;malenordhappy;happy;[I'M HAPPY] A long time ago... [I'M HAPPY] Krev and I were Companions. [I'M HAPPY] We were almost like twin brothers, we were inseparable in the battles.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_A_DSilHand_A02Fj__00011A69_2.xwm
2;DSilHand_A02LoreDialogs;false;malenordanger;anger;[I'M ANGRY] But one day... [I'M ANGRY] We both were invited to ascend to the circle.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_A_DSilHand_A02Fj__00011A69_3.xwm
5;DSilHand_A02LoreDialogs;false;malenordsad;sad;[I'M SAD] They didn't know but when Krev was a little kid, his mother was murdered by a werewolf...;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_A_DSilHand_A02Fj__00011A69_6.xwm
3;DSilHand_A02LoreDialogs;false;malenordhappy;happy;[I'M HAPPY] Fortunately, Krev noticed what the circle was about, and we fled before being forced to drink the cursed wolf's blood.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_A_DSilHand_A02Fj__00011A69_4.xwm
9;DSilHand_A02LoreDialogs;false;malenordneutral;neutral; Before living here at Gallows Rock I used to live in an Orc stronghold in Hammerfell, close to Falkreath.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleOrc\DSilHand_A_DSilHand_A02Ku__00011A68_2.xwm
12;DSilHand_A02LoreDialogs;false;malenordneutral;neutral; But our stronghold was above a Silver Mine.  And some few miles away there was an ancient Dwammer ruin.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleOrc\DSilHand_A_DSilHand_A02Ku__00011A68_5.xwm
14;DSilHand_A02LoreDialogs;false;malenordsad;sad;[I'M SAD] One day I decided to challenge the stronghold leadership, and lost the fight.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleOrc\DSilHand_A_DSilHand_A02Ku__00011A68_7.xwm
16;DSilHand_A02LoreDialogs;false;malenordfear;fear;[I'M SCARED] I thought it was a safe place, but I was wrong. [I'M SCARED] A wild werewolf appeared and came after me.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleOrc\DSilHand_A_DSilHand_A02Ku__00011A68_9.xwm
17;DSilHand_A02LoreDialogs;false;malenordsad;sad;[I'M SAD] I was injured and could not fight. [I'M SAD] I thought that was the end for me.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleOrc\DSilHand_A_DSilHand_A02Ku__00011A68_10.xwm
22;DSilHand_A02LoreDialogs;false;malenordpuzzled;puzzled;[I'M PUZZLED] In my researches, I discovered about some werewolf hunters here in Skyrim. [I'M PUZZLED] But I couldn't find any clear information about where they reside.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\FemaleEvenToned\DSilHand_A_DSilHand_A02Hi__00011A67_3.xwm
23;DSilHand_A02LoreDialogs;false;malenordpuzzled;puzzled;[I'M PUZZLED] I went to Whiterun, to seek information. [I'M PUZZLED] But some people started to act strangely towards me.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\FemaleEvenToned\DSilHand_A_DSilHand_A02Hi__00011A67_4.xwm
24;DSilHand_A02LoreDialogs;false;malenordanger;anger;[I'M ANGRY] In the next day a strong guy punched me in the face, and summoned me to leave the city in twenty-four hours if I wanted to stay alive.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\FemaleEvenToned\DSilHand_A_DSilHand_A02Hi__00011A67_5.xwm
38;DSilHand_A03PlayerHouse;false;malenordneutral;neutral;;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleKhajiit\DSilHand_A_DSilHand_A03AD__0000AE3C_1.xwm
39;DSilHand_A03PlayerHouse;false;malenordneutral;neutral;;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleKhajiit\DSilHand_A_DSilHand_A03AD__0000AE39_1.xwm
40;DSilHand_A03PlayerHouse;false;malenordneutral;neutral;;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleKhajiit\DSilHand_A_DSilHand_A03AD__0000AE37_1.xwm
41;DSilHand_A03PlayerHouse;false;malenordneutral;neutral;;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleKhajiit\DSilHand_A_DSilHand_A03AD__0000AE35_1.xwm
163;DSilHand_M60Retaliation;false;malenordhurt;hurt; [I'M HURT][I'M IN AGONY] I'll be fine...  [I'M HURT][I'M IN AGONY] I have a healing potion...  [I'M HURT][I'M IN AGONY] You must hurry inside to help our brothers...;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleCommoner\DSilHand_M_DSilHand_M60GG__0001C14C_1.xwm
164;DSilHand_M60Retaliation;false;malenordhurt;hurt; [I'M HURT][I'M IN AGONY] Companions...  [I'M HURT][I'M IN AGONY] th-they came sneaky, assault the fort.  [I'M HURT][I'M IN AGONY] They released those beasts into the cages...  Please brother...  avenge our shed blood....  ohhh;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleCommoner\DSilHand_M_DSilHand_M60GG__0001C14A_1.xwm
