id;quest;completed;voice;emotion;text;output_path
0;DSilHand_A02LoreDialogs;error;maleeventonedaccentedhappy;happy;[I'M HAPPY] Yes, of course.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_A_DSilHand_A02Fj__00011A69_1.xwm
1;DSilHand_A02LoreDialogs;error;maleeventonedaccentedhappy;happy;[I'M HAPPY] A long time ago... [I'M HAPPY] Krev and I were Companions. [I'M HAPPY] We were almost like twin brothers, we were inseparable in the battles.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_A_DSilHand_A02Fj__00011A69_2.xwm
2;DSilHand_A02LoreDialogs;error;maleeventonedaccentedanger;anger;[I'M ANGRY] But one day... [I'M ANGRY] We both were invited to ascend to the circle.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_A_DSilHand_A02Fj__00011A69_3.xwm
3;DSilHand_A02LoreDialogs;error;maleeventonedaccentedhappy;happy;[I'M HAPPY] Fortunately, Krev noticed what the circle was about, and we fled before being forced to drink the cursed wolf's blood.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_A_DSilHand_A02Fj__00011A69_4.xwm
4;DSilHand_A02LoreDialogs;error;maleeventonedaccentedhappy;happy;[I'M HAPPY] We fled from Whiterun, and sometime later we discovered about the Silver Hands.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_A_DSilHand_A02Fj__00011A69_5.xwm
5;DSilHand_A02LoreDialogs;error;maleeventonedaccentedsad;sad;[I'M SAD] They didn't know but when Krev was a little kid, his mother was murdered by a werewolf...;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_A_DSilHand_A02Fj__00011A69_6.xwm
6;DSilHand_A02LoreDialogs;error;maleeventonedaccentedhappy;happy;[I'M HAPPY] Since then, we have been fighting for the Silver Hand.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_A_DSilHand_A02Fj__00011A69_7.xwm
7;DSilHand_A02LoreDialogs;error;maleeventonedaccentedhappy;happy;[I'M HAPPY] We have been hiring valiant warriors who hate werewolves and Daedra more than anything.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleEvenTonedAccented\DSilHand_A_DSilHand_A02Fj__00011A69_8.xwm
8;DSilHand_A02LoreDialogs;true;maleorcneutral;neutral; It happened many years ago when I was still a young Orc.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleOrc\DSilHand_A_DSilHand_A02Ku__00011A68_1.xwm
9;DSilHand_A02LoreDialogs;error;maleorcneutral;neutral; Before living here at Gallows Rock I used to live in an Orc stronghold in Hammerfell, close to Falkreath.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleOrc\DSilHand_A_DSilHand_A02Ku__00011A68_2.xwm
10;DSilHand_A02LoreDialogs;ongoing;maleorcneutral;neutral; It was there where I learned about smiting and forging.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleOrc\DSilHand_A_DSilHand_A02Ku__00011A68_3.xwm
11;DSilHand_A02LoreDialogs;false;maleorcneutral;neutral; We Orcs have been forging iron, steel, and orichalcum for millennia.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleOrc\DSilHand_A_DSilHand_A02Ku__00011A68_4.xwm
12;DSilHand_A02LoreDialogs;false;maleorcneutral;neutral; But our stronghold was above a Silver Mine.  And some few miles away there was an ancient Dwammer ruin.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleOrc\DSilHand_A_DSilHand_A02Ku__00011A68_5.xwm
13;DSilHand_A02LoreDialogs;false;maleorchappy;happy;[I'M HAPPY] As you can imagine, I had the opportunity to experiment a lot with these materials before coming here.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleOrc\DSilHand_A_DSilHand_A02Ku__00011A68_6.xwm
14;DSilHand_A02LoreDialogs;false;maleorcsad;sad;[I'M SAD] One day I decided to challenge the stronghold leadership, and lost the fight.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleOrc\DSilHand_A_DSilHand_A02Ku__00011A68_7.xwm
15;DSilHand_A02LoreDialogs;false;maleorcneutral;neutral; I was lucky to escape alive.  I was afraid, and hide in a cave.;results\Data\Sound\Voice\DawnOfTheSilverHand.esp\MaleOrc\DSilHand_A_DSilHand_A02Ku__00011A68_8.xwm
